Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
6410-1,Town,Paradisa,Cabana Beach,152.0,25.5
8240-1,Technic,Speed Slammers,Slammer Stunt Bike,152.0,15.0
853650-1,The LEGO Batman Movie,Miscellaneous,Movie Maker Set,152.0,19.99
40615-1,BrickHeadz,Star Wars,Tusken Raider,152.0,9.99
40186-1,Seasonal,Chinese Traditional Festival,Year of the Pig,152.0,9.99
76141-1,Marvel Super Heroes,Avengers,Thanos Mech,152.0,9.99
76146-1,Marvel Super Heroes,Spider-Man,Spider-Man Mech,152.0,9.99
40391-1,Brick Sketches,Star Wars,First Order Stormtrooper,151.0,16.99
40272-1,BrickHeadz,Seasonal,Halloween Witch,151.0,9.99
75910-1,Speed Champions,Porsche,Porsche 918 Spyder,151.0,14.99
SAMSONITE-5,Samsonite,Basic set,151 Piece Basic Set,151.0,2.99
41588-1,BrickHeadz,DC Comics Super Heroes,The Joker,151.0,9.99
10753-1,Juniors,DC Comics Super Heroes,The Joker Batcave Attack,151.0,24.99
10036-1,Town,Shops and Services,Pizza-To-Go,151.0,20.0
10660-1,Bricks and More,,LEGO® Pink Suitcase,151.0,24.99
8992-1,Bionicle,Vehicles/Creatures,Cendox V1,151.0,19.99
6192-1,Bricks and More,,Pirate Building Set,150.0,9.99
850425-1,Miscellaneous,Accessories,Desk Business Card Holder,150.0,14.99
4629-1,Duplo,,Build & Play Box,150.0,59.99
1017-1,Dacta,,Letter Bricks for Wall Board,150.0,48.0
7531-1,Clikits,,The Ultimate Jewelry Collection,150.0,20.0
10758-1,Juniors,Jurassic World: Fallen Kingdom,T. rex Breakout,150.0,49.99
40201-1,Seasonal,Valentine's Day,Valentine's Cupid Dog,150.0,9.99
40203-1,Seasonal,Halloween,Vampire and Bat,150.0,5.99
10668-1,Juniors,Fantasy,The Princess Play Castle,150.0,14.99
10672-1,Juniors,DC Comics Super Heroes,Batman: Defend the Batcave,150.0,29.99
76134-1,Marvel Super Heroes,Spider-Man,Spider-Man: Doc Ock Diamond Heist,150.0,29.99
40348-1,BrickHeadz,Seasonal,Birthday Clown,150.0,9.99
40379-1,BrickHeadz,Seasonal,Valentine's Bear,150.0,9.99
45026-1,Education,Duplo,Tubes,150.0,174.95
40650-1,Creator,Miscellaneous,Land Rover Classic Defender,150.0,14.99
31145-1,Creator,3 in 1,Red Dragon,149.0,9.99
40424-1,Seasonal,Christmas,Winter Snowball Fight,149.0,12.99
76179-1,DC Comics Super Heroes,The Batman,Batman & Selina Kyle Motorcycle Pursuit,149.0,14.99
10790-1,Marvel Super Heroes,Spidey and his Amazing Friends,Team Spidey at Green Goblin's Lighthouse,149.0,34.99
41609-1,BrickHeadz,Star Wars,Chewbacca,149.0,9.99
10760-1,Juniors,Incredibles 2,Underminer Bank Heist,149.0,24.99
41190-1,Elves,,Emily Jones & The Eagle Getaway,149.0,14.99
75173-1,Star Wars,Episode IV,Luke's Landspeeder,149.0,19.99
5850-1,Belville,Fairy-Tale,The Royal Crystal Palace,149.0,50.0
3682-1,Fabuland,,Fire Station,149.0,39.75
5764-1,Creator,3 in 1,Rescue Robot,149.0,16.99
44009-1,HERO Factory,Brain Attack,DRAGON BOLT,149.0,19.99
5866-1,Creator,3 in 1,Rotor Rescue,149.0,12.99
8939-1,Bionicle,Warriors,Lesovikk,149.0,19.99
7578-1,Belville,Fairy-Tale,Ultimate Princesses,149.0,49.99
7891-1,City,Airport,Airport Fire Truck,148.0,14.99
8990-1,Bionicle,Vehicles/Creatures,Fero and Skirmix,148.0,19.99
10657-1,Bricks and More,,My First LEGO Set,148.0,14.99
7252-1,Star Wars,Episode III,Droid Tri-Fighter,148.0,15.0
6895-1,Space,Space Police,Spy Trak 1,148.0,15.0
8470-1,Racers,Drome Racers,Slammer G-Force,148.0,15.0
9732-1,Mindstorms,1.0,Extreme Creatures,148.0,50.0
75525-1,Star Wars,Buildable Figures,Baze Malbus,148.0,24.99
42027-1,Technic,,Desert Racer,148.0,19.99
42034-1,Technic,,Quad Bike,148.0,19.99
40155-1,Miscellaneous,,Piggy Coin Bank,148.0,14.99
60385-1,City,Great Vehicles,Construction Digger,148.0,19.99
41441-1,Friends,Horseback Riding,Horse Training and Trailer,148.0,29.99
40423-1,Seasonal,Halloween,Halloween Hayride,148.0,12.99
60287-1,City,Great Vehicles,Tractor,148.0,19.99
76140-1,Marvel Super Heroes,Avengers,Iron Man Mech,148.0,9.99
60221-1,City,Harbor,Diving Yacht,148.0,19.99
60402-1,City,Racing,Monster Truck,148.0,15.99
31087-1,Creator,3 in 1,Dune Buggy,147.0,12.99
40349-1,BrickHeadz,Seasonal,Valentine's Puppy,147.0,9.99
60326-1,City,Park,Picnic in the Park,147.0,19.99
75310-1,Star Wars,The Clone Wars,Duel on Mandalore,147.0,19.99
71749-1,Ninjago,Possession,Final Flight of Destiny's Bounty,147.0,39.99
7817-1,Trains,4.5/12V,Crane Wagon,147.0,25.5
5218-1,Technic,,Pneumatic Pack,147.0,28.0
6342-1,Town,Coastguard,Beach Rescue Chopper,147.0,17.5
6496-1,Time Cruisers,Time Twisters,Whirling Time Warper,147.0,22.0
6442-1,Town,Divers,Sting Ray Explorer,147.0,20.0
6616-1,Town,Race,Rocket Dragster,147.0,20.0
8206-1,Cars,Cars 2,Tokyo Pit Stop,147.0,14.99
6157-1,Duplo,Zoo,The Big Zoo,147.0,89.99
9076-1,Education,Duplo,Tubes Experiment Set,147.0,90.0
9547-1,Education,Duplo,Letters Set,146.0,59.0
21200-1,Life of George,,Life Of George 1,146.0,29.99
10659-1,Bricks and More,,LEGO® Blue Suitcase,146.0,24.99
21201-1,Life of George,,Life Of George 2,146.0,29.99
6262-1,Pirates,Islanders,King Kahuka's Throne,146.0,21.0
8537-1,Bionicle,Rahi,Nui-Rama,146.0,15.0
10675-1,Juniors,City,Police – The Big Escape,146.0,29.99
70128-1,Legends of Chima,Outlands,Braptor's Wing Striker,146.0,14.99
71784-1,Ninjago,Core,Jay's Lightning Jet EVO,146.0,9.99
40358-1,Promotional,Target,"Bean There, Donut That",146.0,19.99
42117-1,Technic,,Race Plane,145.0,9.99
31140-1,Creator,3 in 1,Magical Unicorn,145.0,9.99
6385891-1,Promotional,LEGO brand stores,Brick Lab,145.0,15.0
42020-1,Technic,,Twin-rotor Helicopter,145.0,12.99
41051-1,Disney,Brave,Merida's Highland Games,145.0,19.99
COMCON034-1,Marvel Super Heroes,Promotional,Rocket Raccoon's Warbird,145.0,39.99
70790-1,Bionicle,Skull Army,Lord of Skull Spiders,145.0,14.99
41065-1,Disney,Tangled,Rapunzel's Best Day Ever,145.0,19.99
41301-1,Friends,Dog Show,Puppy Parade,145.0,14.99
41233-1,DC Super Hero Girls,,Lashina Tank,145.0,14.99
40260-1,Seasonal,Halloween,Halloween Haunt,145.0,9.99
40237-1,Seasonal,Easter,Easter Egg Hunt,145.0,9.99
41186-1,Elves,,Azari & the Goblin Forest Escape,145.0,19.99
6409-1,Town,Paradisa,Island Arcade,145.0,21.0
3051-1,Castle,Ninja,Blaze Attack,145.0,15.0
7162-1,HERO Factory,Rise of the Rookies,Rotor,145.0,19.99
31003-1,Creator,3 in 1,Red Rotors,145.0,14.99
8198-1,Racers,Tiny Turbos,Ramp Crash,145.0,14.99
8058-1,Atlantis,,Guardian of the Deep,144.0,14.99
8256-1,Technic,,Go-Kart,144.0,14.99
8126-1,Racers,Tiny Turbos,Desert Challenge,144.0,14.99
9065-1,Education,Duplo,Brick Bulk Set,144.0,30.25
9545-1,Education,Duplo,Numbers Set,144.0,57.0
8103-1,Exo-Force,Golden City,Sky Guardian,144.0,14.99
9483-1,Cars,Cars 2,Agent Mater's Escape,144.0,14.99
5929-1,Bricks and More,,Knight and Castle Building Set,144.0,9.99
1854-1,Town,Special,House with Roof-Windows,144.0,23.0
1256-1,Town,Shell,Shell Service Station,144.0,20.0
8469-1,Racers,Drome Racers,Slammer Raptor,144.0,10.0
75533-1,Star Wars,Buildable Figures,Boba Fett,144.0,29.99
41497-1,BrickHeadz,Marvel Super Heroes,Spider-Man & Venom,144.0,39.99
41287-1,The Powerpuff Girls,,Bubbles' Playground Showdown,144.0,19.99
60147-1,City,Harbor,Fishing Boat,144.0,19.99
60137-1,City,Police,Tow Truck Trouble,144.0,24.99
40112-1,Friends,Accessories,Catwalk Phone Stand,144.0,14.99
10776-1,Disney,Mickey and Friends,Mickey & Friends Fire Truck & Station,144.0,39.99
31134-1,Creator,3 in 1,Space Shuttle,144.0,9.99
60359-1,City,Stuntz,Dunk Stunt Ramp Challenge,144.0,29.99
60373-1,City,Fire,Fire Rescue Boat,144.0,29.99
41705-1,Friends,Heartlake City,Heartlake City Pizzeria,144.0,14.99
10975-1,Duplo,,Wild Animals of the World,143.0,129.99
42133-1,Technic,,Telehandler,143.0,12.99
41061-1,Disney,Aladdin,Jasmine's Exotic Palace,143.0,19.99
71309-1,Bionicle,Toa Uniters,Onua - Uniter of Earth,143.0,19.99
10747-1,Juniors,Friends,Andrea and Stephanie's Beach Holiday,143.0,29.99
41591-1,BrickHeadz,Marvel Super Heroes,Black Widow,143.0,9.99
41599-1,BrickHeadz,DC Comics Super Heroes,Wonder Woman,143.0,9.99
6591-1,Town,Racing,Nitro-Dragsters,143.0,12.0
10157-1,World City,Trains,High Speed Train Locomotive,143.0,25.0
1785-1,Space,Miscellaneous,Crater Critters,143.0,10.0
2532-1,Town,Special,Aircraft and Ground Crew,143.0,19.75
4544-1,Trains,9V,Car Transport Wagon with Car,143.0,18.75
6241-1,Pirates,,Loot Island,142.0,19.99
8152-1,Racers,Tiny Turbos,Speed Chasing,142.0,12.99
8197-1,Racers,Tiny Turbos,Highway Chaos,142.0,14.99
MIAMI-1,Promotional,LEGO brand store opening set,{Art Deco Hotel},142.0,0.0
7936-1,City,Trains,Level Crossing,142.0,19.99
3099-1,Duplo,,Duplo Storage Chest,142.0,20.0
3571-1,Znap,,Blackmobile,142.0,20.0
41234-1,DC Super Hero Girls,,Bumblebee Helicopter,142.0,14.99
42059-1,Technic,,Stunt Truck,142.0,19.99
40494-1,Seasonal,Christmas,Polar Bear & Gift Pack,142.0,9.99
21150-1,Minecraft,BigFig Series 1,Minecraft Skeleton BigFig with Magma Cube,142.0,14.99
40409-1,Promotional,Gift with Purchase,Hot Rod,142.0,12.99
40382-1,Seasonal,Birthday,Birthday Set,141.0,12.99
70833-1,The LEGO Movie 2,,Lucy's Builder Box!,141.0,29.99
40492-1,BrickHeadz,Seasonal,La Catrina,141.0,9.99
76202-1,Marvel Super Heroes,X-Men,Wolverine Mech Armor,141.0,9.99
70913-1,The LEGO Batman Movie,,Scarecrow Fearful Face-off,141.0,14.99
41321-1,Friends,Snow Resort,Snow Resort Off-Roader,141.0,14.99
60164-1,City,Coast Guard,Sea Rescue Plane,141.0,19.99
41608-1,BrickHeadz,Star Wars,Han Solo,141.0,9.99
75078-1,Star Wars,Rebels,Imperial Troop Transport,141.0,12.99
2-4,Samsonite,Basic Set,Promotional Set No. 2 (Kraft Velveeta),141.0,2.0
2774-1,Town,Special,Red Tiger,141.0,15.0
3030-1,Duplo,,Limited Edition Tub with Silver Brick,141.0,20.0
4744-1,Alpha Team,Mission Deep Freeze,Tundra Tracker,141.0,20.0
4144-1,Freestyle,,"Freestyle Brick Vac Bus, 4+",141.0,22.0
6359-1,Town,Leisure,Horse Trailer,141.0,12.75
544-1,Basic,,"Basic Building Set, 5+",141.0,9.5
8066-1,Technic,,Off-Roader,141.0,19.99
8196-1,Racers,Tiny Turbos,Chopper Jump,141.0,14.99
3837-1,Games,,Monster 4,141.0,14.99
8105-1,Exo-Force,Golden City,Iron Condor,141.0,14.99
8697-1,Bionicle,Warriors,Toa Ignika,140.0,19.99
GLENDALE-1,Promotional,LEGO brand store opening set,{Rattlesnake},140.0,0.0
60019-1,City,Racing,Stunt Plane,140.0,19.99
6897-1,Space,Space Police 2,Rebel Hunter,140.0,21.0
6355-1,Town,Leisure,Derby Trotter,140.0,14.0
6099-1,Castle,Fright Knights,Traitor Transport,140.0,20.0
6430-1,Town,Police,Night Patroller,140.0,25.0
3037-1,Duplo,,Strata Tub,140.0,20.0
850581-1,Friends,Accessories,Friends Brick Calendar,140.0,14.99
40093-1,Seasonal,Christmas,Snowman,140.0,9.99
42058-1,Technic,,Stunt Bike,140.0,19.99
71760-1,Ninjago,Core,Jay's Thunder Dragon EVO,140.0,19.99
40457-1,Brick Sketches,Disney,Minnie Mouse,140.0,16.99
11017-1,Classic,Creative Fun,Creative Monsters,140.0,9.99
43219-1,Disney,Disney Princess,Disney Princess Creative Castles,140.0,34.99
41362-1,Friends,Heartlake City,Heartlake City Supermarket,140.0,29.99
40270-1,BrickHeadz,Seasonal,Valentine's Bee,140.0,9.99
60260-1,City,Airport,Air Race,140.0,39.99
42116-1,Technic,,Skid Steer Loader,140.0,9.99
76944-1,Jurassic World,Dominion,T. rex Dinosaur Breakout,140.0,49.99
60428-1,City,Space,Space Construction Mech,140.0,10.99
76963-1,Jurassic World,Camp Cretaceous,Baby Dinosaur Rescue Centre,139.0,39.99
75368-1,Star Wars,Mechs,Darth Vader Mech,139.0,15.99
40627-1,BrickHeadz,Sonic the Hedgehog,Sonic the Hedgehog,139.0,9.99
76169-1,Marvel Super Heroes,Avengers,Thor Mech Armor,139.0,9.99
10768-1,Disney,Toy Story 4,Buzz and Bo Peep's Playground Adventure,139.0,24.99
40572-1,Seasonal,Christmas,Penguin & Snowflake,139.0,9.99
70902-1,The LEGO Batman Movie,,Catwoman Catcycle Chase,139.0,19.99
41595-1,BrickHeadz,Disney,Belle,139.0,9.99
42073-1,Technic,,BASH!,139.0,19.99
40092-1,Seasonal,Christmas,Reindeer,139.0,9.99
40181-1,Promotional,Toys R Us,Bricktober Pizza Place,139.0,19.99
4657-1,4 Juniors,City,Fire Squad HQ,139.0,40.0
6557-1,Town,Divers,Treasure Hunters,139.0,22.0
5352-1,Duplo,,Duplo Tub,139.0,20.0
70001-1,Legends of Chima,Promotional,Crawley's Claw Ripper,139.0,14.99
4201-1,City,Mining,Loader and Tipper,139.0,17.99
5898-1,Bricks and More,,Cars Building Set,139.0,9.99
7915-1,Star Wars,Episode III,Imperial V-wing Starfighter,139.0,19.99
8123-1,Racers,Tiny Turbos,Ferrari F1 Racers,139.0,14.99
5352-2,Duplo,,50th Anniversary Tub,139.0,20.0
9731-1,Mindstorms,1.5,Vision Command,138.0,100.0
7143-1,Star Wars,Episode II,Jedi Starfighter,138.0,20.0
40080-1,Friends,Accessories,Friends Pencil Holder,138.0,14.99
60142-1,City,Police,Money Transporter,138.0,19.99
76241-1,Marvel Super Heroes,Avengers,Hulk Mech Armor,138.0,14.99
75370-1,Star Wars,Mechs,Stormtrooper Mech,138.0,15.99
76957-1,Jurassic World,Jurassic Park,Velociraptor Escape,137.0,39.99
71768-1,Ninjago,Crystalized,Jay's Golden Dragon Motorbike,137.0,19.99
31128-1,Creator,3 in 1,Dolphin and Turtle,137.0,9.99
41637-1,BrickHeadz,The LEGO Movie 2,Sweet Mayhem,137.0,9.99
42026-1,Technic,,Black Champion Racer,137.0,19.99
10687-1,Juniors,Marvel Super Heroes,Spider-Man Hideout,137.0,29.99
5222-1,Technic,,Vehicle Chassis Pack,137.0,17.0
6329-1,Town,City,Truck Stop,137.0,25.0
1255-1,Town,Shell,Shell Car Wash,137.0,13.0
9490-1,Star Wars,Episode IV,Droid Escape,137.0,19.99
5763-1,Creator,3 in 1,Dune Hopper,137.0,12.99
6193-1,Bricks and More,,Castle Building Set,137.0,9.99
8423-1,Cars,Cars 2,World Grand Prix Racing Rivalry,136.0,14.99
9390-1,Technic,,Mini Tow Truck,136.0,11.99
5883-1,Dino,,Tower Takedown,136.0,19.99
2161-1,Aquazone,Aquaraiders,Aqua Dozer,136.0,25.0
2151-1,Space,RoboForce,Robo Raider,136.0,12.0
4589-1,Racers,Drome Racers,RC Nitro Flash,136.0,70.0
6368-1,Town,Flight,Jet Airliner,136.0,12.75
7131-1,Star Wars,Episode I,Anakin's Podracer,136.0,15.0
7527-1,Clikits,,Pretty in Pink Beauty Set,136.0,20.0
76010-1,DC Comics Super Heroes,Batman,Batman: The Penguin Face off,136.0,12.99
41607-1,BrickHeadz,Marvel Super Heroes,Gamora,136.0,9.99
10727-1,Juniors,Friends,Emma's Ice Cream Truck,136.0,19.99
40351-1,BrickHeadz,Seasonal,Halloween Ghost,136.0,9.99
76180-1,DC Comics Super Heroes,Batman,Batman vs. The Joker: Batmobile Chase,136.0,29.99
75549-1,Minions: The Rise of Gru,,Unstoppable Bike Chase,136.0,19.99
75384-1,Star Wars,Young Jedi Adventures,The Crimson Firehawk,136.0,49.99
11031-1,Classic,Creative Fun,Creative Monkey Fun,135.0,9.99
42072-1,Technic,,WHACK!,135.0,19.99
41600-1,BrickHeadz,DC Comics Super Heroes,Aquaman,135.0,9.99
10577-1,Duplo,,Big Royal Castle,135.0,59.99
10565-1,Duplo,,Creative Suitcase,135.0,59.99
8875-1,Castle,Knights' Kingdom II,King's Siege Tower,135.0,20.0
8520-1,Technic,Slizer,Millennium Slizer,135.0,20.0
6898-1,Space,Ice Planet 2002,Ice-Sat V,135.0,15.0
6889-1,Space,Spyrius,Recon Robot,135.0,12.0
4532-1,Trains,9V,Manual Level Crossing,135.0,24.0
4133-1,Freestyle,,"Freestyle Bucket, 3+",135.0,16.5
1817-1,Town,Special,Sea Plane with Hut and Boat,135.0,15.0
8199-1,Racers,Tiny Turbos,Security Smash,135.0,14.99
10508-1,Duplo,Trains,Deluxe Train Set,134.0,109.99
5899-1,Bricks and More,,House Building Set,134.0,9.99
6774-1,Alpha Team,,Alpha Team ATV,134.0,20.0
6432-1,Town,City,Speedway Transport,134.0,22.0
6596-1,Town,Boats,Wave Master,134.0,12.0
10684-1,Juniors,Girl,Supermarket Suitcase,134.0,19.99
40436-1,BrickHeadz,Seasonal,Lucky Cat,134.0,9.99
40408-1,Hidden Side,Promotional,Drag Racer,134.0,12.99
31100-1,Creator,3 in 1,Sports Car,134.0,9.99
41363-1,Friends,Great Outdoors,Mia's Forest Adventure,134.0,14.99
41635-1,BrickHeadz,The LEGO Movie 2,Wyldstyle,134.0,14.99
76276-1,Marvel Super Heroes,Spider-Man,Venom Mech Armor vs. Miles Morales,134.0,14.99
41746-1,Friends,Horseback Riding,Horse Training,134.0,29.99
43213-1,Disney,Storybook Adventures,The Little Mermaid Story Book,134.0,19.99
43175-1,Disney,Storybook Adventures,Anna and Elsa's Storybook Adventures,133.0,19.99
76145-1,Marvel Super Heroes,Eternals,Eternals' Aerial Assault,133.0,9.99
71364-1,Super Mario,Expansion Set,Whomp's Lava Trouble,133.0,19.99
40122-1,Seasonal,Halloween,Trick or Treat Halloween Set,133.0,9.99
40261-1,Seasonal,Thanksgiving,Thanksgiving Harvest,133.0,9.99
40228-1,Promotional,Toys R Us,Geoffrey & Friends,133.0,9.99
6454-1,Town,Space Port,Countdown Corner,133.0,20.0
6553-1,Town,Outback,Crisis News Crew,133.0,12.0
6405-1,Town,Paradisa,Sunset Stables,133.0,16.0
7126-1,Star Wars,Episode I,Battle Droid Carrier,133.0,10.0
3406-1,Sports,Football,Americas Team Bus,133.0,20.0
3407-1,Sports,Football,Red Team Bus,133.0,20.0
3300000-1,Promotional,LEGO brand store opening set,The Brick Apple,133.0,9.99
NEWARK-1,Promotional,LEGO brand store opening set,{Transport Plane},133.0,0.0
8698-1,Bionicle,Warriors,Vultraz,133.0,19.99
9542-1,Education,Duplo,Early Maths 4+ Shape & Space Set,132.0,76.0
9077-1,Education,Duplo,Brick Runner Set,132.0,116.0
9491-1,Star Wars,The Clone Wars,Geonosian Cannon,132.0,19.99
4611-1,Jack Stone,,Police HQ,132.0,70.0
71308-1,Bionicle,Toa Uniters,Tahu - Uniter of Fire,132.0,19.99
10683-1,Juniors,City,Road Work Truck,132.0,19.99
31029-1,Creator,3 in 1,Cargo Heli,132.0,9.99
71366-1,Super Mario,Expansion Set,Boomer Bill Barrage,132.0,29.99
40197-1,Miscellaneous,,Wedding Favour Set 2018,132.0,9.99
75951-1,Harry Potter,Fantastic Beasts,Grindelwald's Escape,132.0,19.99
75235-1,Star Wars,Episode IV,X-wing Starfighter Trench Run,132.0,29.99
40493-1,Seasonal,Halloween,Spider & Haunted House Pack,132.0,9.99
71810-1,Ninjago,Dragons Rising Season 2,Young Dragon Riyu,132.0,15.99
40628-1,BrickHeadz,Sonic the Hedgehog,Miles 'Tails' Prower,131.0,9.99
10783-1,Marvel Super Heroes,Spidey and His Amazing Friends,Spider-Man at Doc Ock's Lab,131.0,29.99
10755-1,Juniors,Ninjago,Zane's Ninja Boat Pursuit,131.0,19.99
4137-1,Freestyle,,"Freestyle Clearpack (S), 3+",131.0,15.0
3405-1,Sports,Football,Blue Team Bus,131.0,20.0
7517-1,Clikits,,Cool Room Décor,131.0,10.0
7075-1,4 Juniors,Pirates,Captain Redbeard's Pirate Ship,131.0,40.0
6746-1,Western,Indians,Chief's Tepee,131.0,20.0
7942-1,City,Fire,Off-Road Fire Rescue,131.0,9.99
8112-1,Exo-Force,Deep Jungle,Arachnoid Stalker,131.0,7.99
3838-1,Games,,Lava Dragon ,131.0,14.99
7737-1,City,Coast Guard,Coast Guard 4WD & Jet Scooter,130.0,9.99
7648-1,Space,Mars Mission,MT-21 Mobile Mining Unit,130.0,9.99
7771-1,Aqua Raiders,,Angler Ambush,130.0,9.99
8701-1,Castle,Knights' Kingdom II,King Jayko,130.0,20.0
3183-1,Friends,Traffic,Stephanie's Cool Convertible,130.0,14.99
6912-1,Creator,3 in 1,Super Soarer,130.0,14.99
4636-1,Bricks and More,,Police Building Set,130.0,9.99
4860-1,4 Juniors,Spider-Man,Doc Ock's Cafe Attack,130.0,30.0
10073-1,Bulk Bricks,Technic,Technic Bushes,130.0,9.99
41603-1,BrickHeadz,Star Wars,Kylo Ren,130.0,9.99
COMCON033-1,The Hobbit,An Unexpected Journey,Micro Scale Bag End,130.0,39.99
76203-1,Marvel Super Heroes,Avengers,Iron Man Mech Armor,130.0,9.99
43193-1,Disney,Storybook Adventures,"Ariel, Belle, Cinderella and Tiana's Storybook Adventures",130.0,24.99
71414-1,Super Mario,Expansion Set,Conkdor's Noggin Bopper,130.0,14.99
41617-1,BrickHeadz,Disney,Elsa,130.0,9.99
854049-1,Seasonal,Halloween,Pumpkin & Bat Duo,130.0,9.99
42102-1,Technic,Licensed,Mini CLAAS XERION,130.0,12.99
10787-1,Gabby's Dollhouse,,Kitty Fairy's Garden Party,130.0,34.99
76260-1,Marvel Super Heroes,Avengers: Age of Ultron,Black Widow & Captain America Motorcycles,130.0,15.99
42608-1,Friends,Heartlake City,Tiny Accessories Store,129.0,10.99
10929-1,Duplo,,Modular Playhouse,129.0,59.99
41625-1,BrickHeadz,Disney,Minnie Mouse,129.0,9.99
75970-1,Overwatch,,Tracer vs. Widowmaker,129.0,14.99
76939-1,Jurassic World, Camp Cretaceous,Stygimoloch Dinosaur Escape,129.0,39.99
31018-1,Creator,3 in 1,Highway Cruiser,129.0,12.99
4733-1,Harry Potter,Chamber of Secrets,The Dueling Club,129.0,20.0
7212-1,Creator,Designer Set,Inflight Sales,129.0,10.0
7835-1,Trains,4.5/12V,Road Crossing,129.0,18.15
8874-1,Castle,Knights' Kingdom II,Battle Wagon,129.0,20.0
4437-1,City,Forest Police,Police Pursuit,129.0,17.99
7789-1,Toy Story,Toy Story 3,Lotso's Dump Truck,129.0,19.99
7638-1,City,Traffic,Tow Truck,129.0,12.99
4158-1,Freestyle,,Building Set 5+,128.0,6.0
5481-1,Duplo,,Duplo Zoo,128.0,25.0
4192-1,Pirates of the Caribbean,On Stranger Tides,Fountain of Youth,128.0,19.99
60012-1,City,Coast Guard,Coast Guard 4x4 & Diving Boat,128.0,19.99
5936-1,Adventurers,Jungle,Spider's Secret,128.0,12.0
4726-1,Harry Potter,Chamber of Secrets,Quidditch Practice,128.0,13.0
10016-1,Trains,9V,Tanker,128.0,20.0
75901-1,Scooby-Doo,,Mystery Plane Adventures,128.0,19.99
31135-1,Creator,3 in 1,Vintage Motorcycle,128.0,14.99
42090-1,Technic,,Getaway Truck,128.0,19.99
31099-1,Creator,3 in 1,Propeller Plane,128.0,9.99
71700-1,Ninjago,Tournament of Elements,Jungle Raider,127.0,9.99
40336-1,Hidden Side,Promotional,Newbury Juice Bar,127.0,12.99
41616-1,BrickHeadz,Wizarding World,Hermione Granger,127.0,9.99
40085-1,Seasonal,Valentine's Day,LEGO Valentine,127.0,9.99
60185-1,City,Mining,Mining Power Splitter,127.0,19.99
41486-1,BrickHeadz,Star Wars,Captain Phasma,127.0,9.99
4759-1,Seasonal,Christmas,3 Christmas Decorations,127.0,7.0
345-2,Basic,,Create a Home Bucket,127.0,15.0
3404-1,Sports,Football,Black Team Bus,127.0,20.0
6581-1,Town,Construction,Dig 'N' Dump,127.0,13.25
8226-1,Technic,,Mud Masher,127.0,13.0
7248-1,City,Construction,Digger,127.0,19.99
4960-1,Duplo,LEGO Ville,Giant Zoo,126.0,69.99
8645-1,Racers,Power Racers,Muscle Slammer Bike,126.0,10.0
8646-1,Racers,Power Racers,Speed Slammer Bike,126.0,10.0
6057-1,Castle,Black Knights,Sea Serpent,126.0,16.5
60176-1,City,Mountain Police,Wild River Escape,126.0,19.99
75926-1,Jurassic World,Fallen Kingdom,Pteranodon Chase,126.0,19.99
40236-1,Seasonal,Valentine's Day,Romantic Valentine Picnic,126.0,9.99
41451-1,Unikitty,,Unikitty Cloud Car,126.0,9.99
40271-1,BrickHeadz,Seasonal,Easter Bunny,126.0,9.99
60252-1,City,Construction,Construction Bulldozer,126.0,19.99
854050-1,Seasonal,Christmas,Snowman & Reindeer Duo,126.0,9.99
60429-1,City,Space,Spaceship and Asteroid Discovery,126.0,19.99
10993-1,Duplo,,3in1 Tree House,126.0,89.99
42606-1,Friends,General,Mobile Bakery Food Cart,125.0,10.99
43189-1,Disney,Storybook Adventures,Elsa and the Nokk Storybook Adventures,125.0,19.99
76171-1,Marvel Super Heroes,Spider-Man,Miles Morales Mech Armor,125.0,9.99
70832-1,The LEGO Movie 2,,Emmet's Builder Box!,125.0,29.99
75262-1,Star Wars,Miscellaneous,Imperial Dropship  – 20th Anniversary Edition,125.0,19.99
41738-1,Friends,Dog Rescue,Dog Rescue Bike,125.0,9.99
75167-1,Star Wars,The Freemaker Adventures,Bounty Hunter Speeder Bike Battle Pack,125.0,14.99
10754-1,Juniors,Marvel Super Heroes,Spider-Man vs. Scorpion Street Showdown,125.0,19.99
41155-1,Disney,Frozen,Elsa's Market Adventure,125.0,19.99
SAMSONITE-4,Samsonite,Basic set,125 Piece Basic Set,125.0,3.95
42033-1,Technic,,Record Breaker,125.0,19.99
40091-1,Seasonal,Thanksgiving,Thanksgiving Turkey,125.0,9.99
7214-1,World City,Special,Airline Promotional Set,125.0,12.0
7134-1,Star Wars,Episode VI,A-wing Fighter,125.0,15.0
5635-1,Duplo,LEGO Ville,Big City Zoo,125.0,89.99
9130-1,Education,Duplo,Around-the-House Set,125.0,91.0
2235-1,HERO Factory,Ordeal of Fire,Fire Lord,125.0,19.99
7307-1,Pharaoh's Quest,,Flying Mummy Attack,125.0,19.99
9604-1,Dacta,,LEGO Technic and Pneumatic Elements,124.0,36.95
6203-1,HERO Factory,Breakout,BLACK PHANTOM,124.0,19.99
75000-1,Star Wars,Episode II,Clone Troopers vs. Droidekas,124.0,12.99
9543-1,Education,Duplo,Let's Play Maths,124.0,80.0
6044-1,Castle,Royal Knights,King's Carriage,124.0,16.5
6594-1,Town,Vehicles,Gas Transit,124.0,13.25
31043-1,Creator,3 in 1,Chopper Transporter,124.0,9.99
70136-1,Legends of Chima,Speedorz,Banana Bash,124.0,12.99
